Unique ID;Author's Sample Name;Latitude;Longitude;pH;Referenced Data;Ia;Ib;Ic;IIa_5me;IIa_6me;IIb_5me;IIb_6me;IIc_5me;IIc_6me;IIIa_5me;IIIa_6me;IIIb_5me;IIIb_6me;IIIc_5me;IIIc_6me;Sample type
Lake-111;Redoubt Lake;60.63;-152.43;NA;Martínez-Sosa et al., 2020;0.11685201;0.00376118;0.00044802;0.12655965;0.12521872;0.00358104;0.00788736;0.00044489;0.00062347;0.3600663;0.24266287;0.00398676;0.00790773;0;0;Lake
Lake-112;Shirley Lake;51.927;-176.556;NA;Martínez-Sosa et al., 2020;0.15155044;0.02016624;0.0048668;0.23153625;0.11850975;0.03592407;0.02407957;0.00488465;0.00074238;0.25952404;0.13613934;0.00572034;0.00635616;0;0;Lake
Lake-113;Lower Ohmer Lake;60.456;-150.316;NA;Martínez-Sosa et al., 2020;0.1040058;0.02392399;0.00632835;0.17751772;0.1228816;0.06418559;0.03229043;0.00737558;0.00235767;0.27152335;0.16757717;0.01006517;0.00996757;0;0;Lake
Lake-114;Lone Spruce Pond;60.007;-159.143;NA;Martínez-Sosa et al., 2020;0.25937462;0.0124577;0.00284971;0.33576652;0.06758936;0.01814579;0.01120259;0.0000475;0.00370289;0.23189631;0.04867598;0.00582673;0.00246429;0;0;Lake
Lake-115;Cascade Lake 2009;60.1393111;-159.40538;NA;Martínez-Sosa et al., 2020;0.20653529;0.01991375;0.00526097;0.23174898;0.11768336;0.02118677;0.02920163;0.00685875;0.00617027;0.21701826;0.11565041;0.01512042;0.00765114;0;0;Lake
Lake-116;Hidden Lake;60.48;-150.27;NA;Martínez-Sosa et al., 2020;0.06236316;0.01949611;0.00765695;0.1302403;0.09878576;0.07329586;0.04095316;0.0110559;0.00480116;0.28607716;0.23001557;0.01189427;0.02336464;0;0;Lake
Lake-117;Judd Lake;61.57;-151.56;6.5;Martínez-Sosa et al., 2020;0.26471612;0.02753327;0.00355082;0.35051691;0.11201584;0.00112151;0.02779672;0.00020427;0.00521004;0.16633883;0.03680137;0.00173481;0.00245949;0;0;Lake
Lake-118;Upper Togiak Lake;59.859;-159.455;7.5;Martínez-Sosa et al., 2020;0.15733517;0.01489831;0.00589583;0.17446062;0.10897928;0.02205743;0.01339158;0.00600853;0.00124745;0.37712972;0.10807214;0.0069304;0.00359355;0;0;Lake
Lake-119;Shadow Bay Lake;60.007;-159.185;NA;Martínez-Sosa et al., 2020;0.19935088;0.01566138;0.00548746;0.21710202;0.10612497;0.02094268;0.01464072;0.00601468;0.00275556;0.30057646;0.09955039;0.00796025;0.00383254;0;0;Lake
Lake-120;Sheep Lake;60.035065;-150.36993;NA;Martínez-Sosa et al., 2020;0.16940144;0.0124844;0.00274895;0.25045844;0.07857205;0.02051235;0.00438106;0.00342922;0.00012201;0.39257506;0.05632072;0.0041428;0.00485153;0;0;Lake
